"","county","date","hospitalized_covid_patients","all_hospital_beds","icu_available_beds","icu_combined","hospital_capactity","icu_capacity"
"157","lassen","2020-03-31","   0","    0","   0","  0","    0","   0"
"158","el dorado","2020-03-31","   0","    0","  12","  6","    0","   6"
"159","monterey","2020-03-31","   0","    0","  17","  6","    0","  11"
"160","san luis obispo","2020-03-31","   0","    0"," 955","  9","    0"," 946"
"161","calaveras","2020-03-31","   0","    0","   4","  0","    0","   4"
"162","merced","2020-03-31","   0","    0","  10","  2","    0","   8"
"163","siskiyou","2020-03-31","   0","    0","   4","  0","    0","   4"
"164","madera","2020-03-31","   0","    0","   5","  1","    0","   4"
"165","mono","2020-03-31","   0","    0","   2","  0","    0","   2"
"166","modoc","2020-03-31","   0","    0","   0","  0","    0","   0"
"167","santa clara","2020-03-31","   0","    0","  92"," 90","    0","   2"
"168","alameda","2020-04-01","   0","    0"," 106"," 42","    0","  64"
"169","riverside","2020-04-01","   0","    0","  76"," 76","    0","   0"
"170","lassen","2020-04-01","   0","    0","   0","  0","    0","   0"
"171","santa clara","2020-04-01","   0","    0","  91"," 92","    0","  -1"
"172","siskiyou","2020-04-01","   0","    0","   3","  2","    0","   1"
"173","santa barbara","2020-04-01","   0","    0","  51"," 21","    0","  30"
"174","san benito","2020-04-01","   0","    0","   0","  2","    0","  -2"
"175","mariposa","2020-04-01","   0","    0","   0","  0","    0","   0"
"176","fresno","2020-04-01","   0","    0","  53"," 18","    0","  35"
"177","sacramento","2020-04-01","   0","    0","  74"," 53","    0","  21"
"178","marin","2020-04-01","   0","    0","  14","  6","    0","   8"
"179","santa cruz","2020-04-01","   0","    0","   3","  4","    0","  -1"
"180","solano","2020-04-01","   0","    0","  31","  7","    0","  24"
"181","madera","2020-04-01","   0","    0","   4","  1","    0","   3"
"182","inyo","2020-04-01","   0","    0","   6","  0","    0","   6"
"183","tehama","2020-04-01","   0","    0","   4","  1","    0","   3"
"184","amador","2020-04-01","   0","    0","   2","  0","    0","   2"
"185","trinity","2020-04-01","   0","    0","   0","  0","    0","   0"
"186","mono","2020-04-01","   0","    0","   2","  0","    0","   2"
"187","glenn","2020-04-01","   0","    0","   0","  0","    0","   0"
"188","calaveras","2020-04-01","   0","    0","   5","  0","    0","   5"
"189","shasta","2020-04-01","   0","    0","  13","  1","    0","  12"
"190","san joaquin","2020-04-01","   0","    0","  21"," 27","    0","  -6"
"191","imperial","2020-04-01","   0","    0","   7","  7","    0","   0"
"192","","2020-04-01","   0","    0","   9","  7","    0","   2"
"193","sutter","2020-04-01","   0","    0","   0","  0","    0","   0"
"194","del norte","2020-04-01","   0","    0","   3","  0","    0","   3"
"195","nevada","2020-04-01","   0","    0","   3","  4","    0","  -1"
"196","san mateo","2020-04-01","   0","    0","  36"," 28","    0","   8"
"197","ventura","2020-04-01","   0","    0","  27"," 28","    0","  -1"
"198","tuolumne","2020-04-01","   0","    0","   2","  0","    0","   2"
"199","placer","2020-04-01","   0","    0","   7","  8","    0","  -1"
"200","san luis obispo","2020-04-01","   0","    0"," 968"," 11","    0"," 957"
"201","mendocino","2020-04-01","   0","    0","   8","  0","    0","   8"
"202","yuba","2020-04-01","   0","    0","   6","  6","    0","   0"
"203","lake","2020-04-01","   0","    0","   2","  0","    0","   2"
"204","contra costa","2020-04-01","   0","    0","  61"," 24","    0","  37"
"205","san francisco","2020-04-01","   0","    0","  64"," 38","    0","  26"
"206","el dorado","2020-04-01","   0","    0","   9","  4","    0","   5"
"207","sonoma","2020-04-01","   0","    0","  22","  3","    0","  19"
"208","orange","2020-04-01","   0","    0"," 118"," 98","    0","  20"
"209","kern","2020-04-01","   0","    0","  32"," 16","    0","  16"
"210","merced","2020-04-01","   0","    0","   9","  3","    0","   6"
"211","napa","2020-04-01","   0","    0","   9","  1","    0","   8"
"212","monterey","2020-04-01","   0","    0","  15","  8","    0","   7"
"213","modoc","2020-04-01","   0","    0","   0","  0","    0","   0"
"214","butte","2020-04-01","   0","    0","   9","  6","    0","   3"
"215","colusa","2020-04-01","   0","    0","   5","  1","    0","   4"
"216","humboldt","2020-04-01","   0","    0","   7","  3","    0","   4"
"217","san bernardino","2020-04-01","   0","    0","  34"," 91","    0"," -57"
"218","kings","2020-04-01","   0","    0","   1","  3","    0","  -2"
"219","tulare","2020-04-01","   0","    0","   9","  7","    0","   2"
"220","yolo","2020-04-01","   0","    0","   2","  2","    0","   0"
"221","stanislaus","2020-04-01","   0","    0","  31"," 16","    0","  15"
"222","plumas","2020-04-01","   0","    0","   0","  0","    0","   0"
"223","los angeles","2020-04-01","   0","    0"," 492","555","    0"," -63"
"224","san diego","2020-04-01","   0","    0"," 215","103","    0"," 112"
"225","fresno","2020-04-02","   0","    0","  33"," 19","    0","  14"
"226","mono","2020-04-02","   0","    0","   2","  0","    0","   2"
"227","humboldt","2020-04-02","   0","    0","   8","  2","    0","   6"
"228","tuolumne","2020-04-02","   0","    0","   2","  0","    0","   2"
"229","santa clara","2020-04-02","   0","    0","  95"," 88","    0","   7"
"230","kern","2020-04-02","   0","    0","  36"," 35","    0","   1"
"231","colusa","2020-04-02","   0","    0","   5","  1","    0","   4"
"232","","2020-04-02","   0","    0","   9","  7","    0","   2"
"233","el dorado","2020-04-02","   0","    0","  10","  6","    0","   4"
"234","tulare","2020-04-02","   0","    0","   3","  9","    0","  -6"
"235","stanislaus","2020-04-02","   0","    0","  22"," 18","    0","   4"
"236","san joaquin","2020-04-02","   0","    0","  17"," 27","    0"," -10"
"237","glenn","2020-04-02","   0","    0","   0","  0","    0","   0"
"238","modoc","2020-04-02","   0","    0","   0","  0","    0","   0"
"239","plumas","2020-04-02","   0","    0","   0","  0","    0","   0"
"240","san luis obispo","2020-04-02","   0","    0"," 966","  8","    0"," 958"
"241","yolo","2020-04-02","   0","    0","   0","  5","    0","  -5"
"242","shasta","2020-04-02","   0","    0","  10","  1","    0","   9"
"243","trinity","2020-04-02","   0","    0","   0","  0","    0","   0"
"244","butte","2020-04-02","   0","    0","  12","  4","    0","   8"
"245","imperial","2020-04-02","   0","    0","   6","  8","    0","  -2"
"246","ventura","2020-04-02","   0","    0","  15"," 31","    0"," -16"
"247","calaveras","2020-04-02","   0","    0","   5","  0","    0","   5"
"248","inyo","2020-04-02","   0","    0","   3","  1","    0","   2"
"249","santa cruz","2020-04-02","   0","    0","   7","  3","    0","   4"
"250","marin","2020-04-02","   0","    0","  16","  4","    0","  12"
"251","monterey","2020-04-02","   0","    0","  12","  6","    0","   6"
"252","merced","2020-04-02","   0","    0","   3","  1","    0","   2"
"253","lake","2020-04-02","   0","    0","   2","  0","    0","   2"
"254","del norte","2020-04-02","   0","    0","   2","  0","    0","   2"
"255","amador","2020-04-02","   0","    0","   2","  0","    0","   2"
"256","sutter","2020-04-02","   0","    0","   0","  0","    0","   0"
"257","san francisco","2020-04-02","   0","    0","  58"," 43","    0","  15"
"258","sonoma","2020-04-02","   0","    0","  10","  1","    0","   9"
"259","san benito","2020-04-02","   0","    0","   0","  2","    0","  -2"
"260","siskiyou","2020-04-02","   0","    0","   4","  2","    0","   2"
"261","mariposa","2020-04-02","   0","    0","   0","  0","    0","   0"
"262","alameda","2020-04-02","   0","    0"," 112"," 46","    0","  66"
"263","tehama","2020-04-02","   0","    0","   4","  1","    0","   3"
"264","san mateo","2020-04-02","   0","    0","  26"," 30","    0","  -4"
"265","los angeles","2020-04-02","   0","    0"," 488","539","    0"," -51"
"266","sacramento","2020-04-02","   0","    0","  80"," 43","    0","  37"
"267","placer","2020-04-02","   0","    0","  11","  9","    0","   2"
"268","riverside","2020-04-02","   0","    0"," 104"," 94","    0","  10"
"269","napa","2020-04-02","   0","    0","  12","  2","    0","  10"
"270","solano","2020-04-02","   0","    0","  27","  8","    0","  19"
"271","san bernardino","2020-04-02","   0","    0","  37"," 95","    0"," -58"
"272","mendocino","2020-04-02","   0","    0","   8","  0","    0","   8"
"273","madera","2020-04-02","   0","    0","   6","  4","    0","   2"
"274","contra costa","2020-04-02","   0","    0","  73"," 23","    0","  50"
"275","orange","2020-04-02","   0","    0","  96","114","    0"," -18"
"276","yuba","2020-04-02","   0","    0","   4","  8","    0","  -4"
"277","lassen","2020-04-02","   0","    0","   0","  0","    0","   0"
"278","santa barbara","2020-04-02","   0","    0","  47"," 28","    0","  19"
"279","nevada","2020-04-02","   0","    0","   6","  3","    0","   3"
"280","kings","2020-04-02","   0","    0","   7","  2","    0","   5"
"281","san diego","2020-04-02","   0","    0"," 206","104","    0"," 102"
"282","ventura","2020-04-03","   0","    0","  56"," 34","    0","  22"
"283","imperial","2020-04-03","   0","    0","   5","  7","    0","  -2"
"284","san diego","2020-04-03","   0","    0"," 216","112","    0"," 104"
"285","mariposa","2020-04-03","   0","    0","   0","  0","    0","   0"
"286","del norte","2020-04-03","   0","    0","   2","  0","    0","   2"
"287","santa barbara","2020-04-03","   0","    0","  50"," 22","    0","  28"
"288","inyo","2020-04-03","   0","    0","   1","  3","    0","  -2"
"289","merced","2020-04-03","   0","    0","   4","  2","    0","   2"
"290","shasta","2020-04-03","   0","    0","  14","  4","    0","  10"
"291","san luis obispo","2020-04-03","   0","    0"," 967","  5","    0"," 962"
"292","amador","2020-04-03","   0","    0","   1","  0","    0","   1"
"293","glenn","2020-04-03","   0","    0","   0","  0","    0","   0"
"294","solano","2020-04-03","   0","    0","  23"," 12","    0","  11"
"295","placer","2020-04-03","   0","    0","   7"," 11","    0","  -4"
"296","kings","2020-04-03","   0","    0","   3","  1","    0","   2"
"297","alameda","2020-04-03","   0","    0"," 117"," 45","    0","  72"
"298","sacramento","2020-04-03","   0","    0","  76"," 45","    0","  31"
"299","santa clara","2020-04-03","   0","    0","  97"," 88","    0","   9"
"300","trinity","2020-04-03","   0","    0","   0","  0","    0","   0"
"301","tehama","2020-04-03","   0","    0","   8","  0","    0","   8"
"302","butte","2020-04-03","   0","    0","   9","  8","    0","   1"
"303","mono","2020-04-03","   0","    0","   2","  0","    0","   2"
"304","napa","2020-04-03","   0","    0","   9","  1","    0","   8"
"305","santa cruz","2020-04-03","   0","    0","   2","  3","    0","  -1"
"306","","2020-04-03","   0","    0","   2","  8","    0","  -6"
"307","plumas","2020-04-03","   0","    0","   0","  0","    0","   0"
"308","stanislaus","2020-04-03","   0","    0","  22"," 20","    0","   2"
"309","san joaquin","2020-04-03","   0","    0","  22"," 26","    0","  -4"
"310","san mateo","2020-04-03","   0","    0","  38"," 30","    0","   8"
"311","marin","2020-04-03","   0","    0","  17","  8","    0","   9"
"312","san francisco","2020-04-03","   0","    0","  74"," 47","    0","  27"
"313","sonoma","2020-04-03","   0","    0","  15","  5","    0","  10"
"314","modoc","2020-04-03","   0","    0","   0","  0","    0","   0"
"315","tulare","2020-04-03","   0","    0","   3","  7","    0","  -4"
"316","los angeles","2020-04-03","   0","    0"," 473","631","    0","-158"
"317","riverside","2020-04-03","   0","    0"," 127","103","    0","  24"
"318","lake","2020-04-03","   0","    0","   2","  1","    0","   1"
"319","kern","2020-04-03","   0","    0","  47"," 28","    0","  19"
"320","lassen","2020-04-03","   0","    0","   0","  0","    0","   0"
"321","calaveras","2020-04-03","   0","    0","   5","  0","    0","   5"
"322","contra costa","2020-04-03","   0","    0","  75"," 25","    0","  50"
"323","fresno","2020-04-03","   0","    0","  35"," 23","    0","  12"
"324","tuolumne","2020-04-03","   0","    0","   1","  0","    0","   1"
"325","sutter","2020-04-03","   0","    0","   0","  0","    0","   0"
"326","colusa","2020-04-03","   0","    0","   5","  1","    0","   4"
"327","humboldt","2020-04-03","   0","    0","  10","  0","    0","  10"
"328","el dorado","2020-04-03","   0","    0","  14","  4","    0","  10"
"329","monterey","2020-04-03","   0","    0","  17","  4","    0","  13"
"330","madera","2020-04-03","   0","    0","   7","  1","    0","   6"
"331","yolo","2020-04-03","   0","    0","   4","  9","    0","  -5"
"332","nevada","2020-04-03","   0","    0","   5","  3","    0","   2"
"333","san benito","2020-04-03","   0","    0","   0","  2","    0","  -2"
"334","siskiyou","2020-04-03","   0","    0","   4","  1","    0","   3"
"335","yuba","2020-04-03","   0","    0","   5","  4","    0","   1"
"336","mendocino","2020-04-03","   0","    0","   6","  1","    0","   5"
"337","orange","2020-04-03","   0","    0"," 151","102","    0","  49"
"338","san bernardino","2020-04-03","   0","    0","  57"," 97","    0"," -40"
"339","tuolumne","2020-04-04","   0","    0","   2","  1","    0","   1"
"340","yuba","2020-04-04","   0","    0","   7","  4","    0","   3"
"341","kings","2020-04-04","   0","    0","   0","  1","    0","  -1"
"342","siskiyou","2020-04-04","   0","    0","   5","  1","    0","   4"
"343","tulare","2020-04-04","   0","    0","   6","  6","    0","   0"
"344","trinity","2020-04-04","   0","    0","   0","  0","    0","   0"
"345","nevada","2020-04-04","   0","    0","   5","  4","    0","   1"
"346","santa barbara","2020-04-04","   0","    0","  53"," 20","    0","  33"
"347","mono","2020-04-04","   0","    0","   2","  0","    0","   2"
"348","san benito","2020-04-04","   0","    0","   0","  2","    0","  -2"
"349","","2020-04-04","   0","    0","   7","  5","    0","   2"
"350","butte","2020-04-04","   0","    0","   7","  5","    0","   2"
"351","sacramento","2020-04-04","   0","    0","  82"," 43","    0","  39"
"352","san mateo","2020-04-04","   0","    0","  40"," 31","    0","   9"
"353","santa clara","2020-04-04","   0","    0","  91"," 91","    0","   0"
"354","ventura","2020-04-04","   0","    0","  10"," 32","    0"," -22"
"355","san luis obispo","2020-04-04","   0","    0"," 954","  6","    0"," 948"
"356","yolo","2020-04-04","   0","    0","   4","  6","    0","  -2"
"357","lassen","2020-04-04","   0","    0","   0","  0","    0","   0"
"358","mendocino","2020-04-04","   0","    0","   7","  1","    0","   6"
"359","amador","2020-04-04","   0","    0","   2","  0","    0","   2"
"360","del norte","2020-04-04","   0","    0","   1","  0","    0","   1"
"361","solano","2020-04-04","   0","    0","  23","  9","    0","  14"
"362","plumas","2020-04-04","   0","    0","   0","  0","    0","   0"
"363","imperial","2020-04-04","   0","    0","   5","  7","    0","  -2"
"364","riverside","2020-04-04","   0","    0"," 125"," 95","    0","  30"
"365","glenn","2020-04-04","   0","    0","   0","  0","    0","   0"
"366","los angeles","2020-04-04","   0","    0"," 537","630","    0"," -93"
"367","orange","2020-04-04","   0","    0"," 153","115","    0","  38"
"368","san bernardino","2020-04-04","   0","    0","  67","117","    0"," -50"
"369","colusa","2020-04-04","   0","    0","   5","  1","    0","   4"
"370","fresno","2020-04-04","   0","    0","  36"," 27","    0","   9"
"371","modoc","2020-04-04","   0","    0","   0","  0","    0","   0"
"372","san joaquin","2020-04-04","   0","    0","  24"," 23","    0","   1"
"373","sonoma","2020-04-04","   0","    0","  15","  8","    0","   7"
"374","stanislaus","2020-04-04","   0","    0","  26"," 21","    0","   5"
"375","madera","2020-04-04","   0","    0","   8","  0","    0","   8"
"376","san diego","2020-04-04","   0","    0"," 222","105","    0"," 117"
"377","alameda","2020-04-04","   0","    0"," 120"," 53","    0","  67"
"378","humboldt","2020-04-04","   0","    0","   7","  0","    0","   7"
"379","napa","2020-04-04","   0","    0","   6","  1","    0","   5"
"380","san francisco","2020-04-04","   0","    0","  79"," 44","    0","  35"
"381","kern","2020-04-04","   0","    0","  29"," 25","    0","   4"
"382","tehama","2020-04-04","   0","    0","   8","  0","    0","   8"
"383","santa cruz","2020-04-04","   0","    0","   7","  3","    0","   4"
"384","shasta","2020-04-04","   0","    0","  13","  4","    0","   9"
"385","calaveras","2020-04-04","   0","    0","   5","  0","    0","   5"
"386","inyo","2020-04-04","   0","    0","   2","  2","    0","   0"
"387","contra costa","2020-04-04","   0","    0","  87"," 19","    0","  68"
"388","monterey","2020-04-04","   0","    0","  18","  6","    0","  12"
"389","lake","2020-04-04","   0","    0","   4","  1","    0","   3"
"390","placer","2020-04-04","   0","    0","  12"," 11","    0","   1"
"391","sutter","2020-04-04","   0","    0","   0","  0","    0","   0"
"392","el dorado","2020-04-04","   0","    0","  12","  3","    0","   9"
"393","marin","2020-04-04","   0","    0","  12","  8","    0","   4"
"394","merced","2020-04-04","   0","    0","   6","  2","    0","   4"
"395","mariposa","2020-04-04","   0","    0","   0","  0","    0","   0"
"396","san joaquin","2020-04-05","   0","    0","  19"," 21","    0","  -2"
"397","colusa","2020-04-05","   0","    0","   5","  1","    0","   4"
"398","orange","2020-04-05","   0","    0"," 156","116","    0","  40"
"399","yuba","2020-04-05","   0","    0","  10","  2","    0","   8"
"400","nevada","2020-04-05","   0","    0","   3","  3","    0","   0"
"401","san mateo","2020-04-05","   0","    0","  36"," 30","    0","   6"
"402","contra costa","2020-04-05","   0","    0","  74"," 25","    0","  49"
"403","yolo","2020-04-05","   0","    0","   4","  6","    0","  -2"
"404","stanislaus","2020-04-05","   0","    0","  30"," 19","    0","  11"
"405","imperial","2020-04-05","   0","    0","   3","  9","    0","  -6"
"406","los angeles","2020-04-05","   0","    0"," 554","639","    0"," -85"
"407","butte","2020-04-05","   0","    0","  10","  7","    0","   3"
"408","san benito","2020-04-05","   0","    0","   0","  2","    0","  -2"
